order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_purchase_year,order_purchase_month,order_purchase_dayofmonth,order_purchase_dayofweek,order_purchase_year_month,order_purchase_year_month_day,order_purchase_hour,order_purchase_time_day,customer_unique_id,customer_zipcode,customer_city,customer_state,customer_lat,customer_lng,review_id,review_score,seller_id,seller_zipcode,seller_city,seller_state,seller_lat,seller_lng,order_item_id,product_id,shipping_limit_date,price,freight_value,product_category_name,product_chargeable_weight,total_value,days_to_approved,days_to_carrier,days_to_delivered,days_estimated,days_difference_delivery,distance_km,product_segment,product_sales_count,product_sales_volume,route,sales_same_state
2018-03-06 06:40:28,2018-03-06 06:50:26,2018-03-07 01:20:05,2018-03-16 22:34:53,2018-04-11,2018,3,6,1,201803,20180306,6,Morning,d02e64b28b7c386aab81bb6ce148799a,37580,monte siao,MG,-22.431010062149536,-46.57315634253028,1e8067a9f38deb9426d4278fa2d213d0,5,77530e9772f57a62c906e1c21538ab82,80310,curitiba,PR,-25.45781550929083,-49.309207968492174,1,28b4eced95a52d9c437a4caf9d311b95,2018-03-12 06:50:26,59.9,19.95,furniture_decor,1391.5,79.85,0,0,10,35,25,435.807196838035,home_goods,5605.0,high,other_route,0
2017-07-10 20:42:56,2017-07-12 02:10:13,2017-07-14 13:47:42,2017-07-21 20:34:41,2017-08-08,2017,7,10,0,201707,20170710,20,Night,b7eccb8247dce2f986bc667143eb475e,21625,rio de janeiro,RJ,-22.83193067692889,-43.4001239383693,11b501537e4927eec81488bec55ddd17,5,8e6cc767478edae941d9bd9eb778d77a,38442,araguari,MG,-18.646009716044883,-48.20600624270037,1,fa28f114992077c601cdb9810c5108a4,2017-07-18 02:10:13,135.9,21.44,housewares,3921.5,157.34,1,3,10,28,17,682.0063472619348,home_goods,5351.0,high,other_route,0
2017-05-21 19:21:32,2017-05-22 19:25:17,2017-05-24 13:28:02,2017-05-31 14:04:41,2017-06-20,2017,5,21,6,201705,20170521,19,Night,aed98e376f0a3685776366a2ba55e4ee,75903,rio verde,GO,-17.784010767521345,-50.91797688979276,a6209b818df2c7684958f159ec0e6a4f,4,2e0dba2da448400b1c11d7b4b22f32a4,9070,santo andre,SP,-23.64410054648281,-46.54745804079866,4,1a0d662b65b5ef08796501b064c853af,2017-05-26 19:25:17,59.96,60.4,auto,4050.0,120.36,1,2,9,29,19,792.4200142936087,otros,3608.0,medium,other_route,0
2018-02-06 10:46:53,2018-02-06 11:50:49,2018-02-06 21:28:29,2018-02-16 14:34:27,2018-03-06,2018,2,6,1,201802,20180206,10,Morning,02f3cc68f02f665daf830cbde5fbe0f8,82510,curitiba,PR,-25.39991397196895,-49.240479897003226,59042599ce5a42dfa44c02948b5c46b2,4,537eb890efff034a88679788b647c564,20270,rio de janeiro,RJ,-22.916610210369964,-43.218139148767925,1,71a5f1c2a5fd9889ef26b5ac22aec9c6,2018-02-12 11:50:49,19.9,14.1,furniture_decor,100.0,34.0,0,0,10,27,17,670.884009366533,home_goods,5605.0,high,other_route,0
2018-04-30 09:14:50,2018-04-30 09:36:03,2018-05-02 11:43:00,2018-05-07 13:33:56,2018-05-23,2018,4,30,0,201804,20180430,9,Morning,3cfbe790a05c2d302c768b447864d7a1,2266,sao paulo,SP,-23.476410429366943,-46.59853090313921,c67b0ab17e57b8d14d2ac80f69c79e2b,5,77530e9772f57a62c906e1c21538ab82,80310,curitiba,PR,-25.45781550929083,-49.309207968492174,1,11a0fdc4251f15bb96dbfff7ef5475eb,2018-05-07 09:30:28,299.0,23.17,furniture_decor,2850.0,322.17,0,2,7,22,15,351.673238455283,home_goods,5605.0,high,PR-SP,0
2017-05-30 18:18:36,2017-05-31 18:22:47,2017-06-01 13:57:49,2017-06-07 13:50:52,2017-06-22,2017,5,30,1,201705,20170530,18,Night,77479db0fa60ddc453f3743abc02be23,20940,rio de janeiro,RJ,-22.90235169360598,-43.21845774216625,3bf1853a5cc1c40ba2fc20bb37967e09,5,0c8380b62e38e8a1e6adbeba7eb9688c,37410,tres coracoes,MG,-21.69448512017128,-45.25794378743439,1,fbb1cfc2810efabf3235eccf4530f4ae,2017-06-06 18:22:47,44.9,16.11,,1750.0,61.01,1,1,7,22,14,249.10448325146248,otros,,high,other_route,0
2017-07-18 12:56:38,2017-07-19 07:32:04,2017-07-20 19:26:36,2017-07-26 13:57:49,2017-07-31,2017,7,18,1,201707,20170718,12,Afternoon,4093226671a7fef20920692b9093c6c6,8420,sao paulo,SP,-23.54331352733856,-46.42791090195627,2396f8708225f1ceffd67a446506b7b7,5,c9c7905cffc4ef9ff9f113554423e671,6871,itapecerica da serra,SP,-23.72322443825373,-46.85695317346645,1,0bdb7583b74c0323d413497fab3f2a3c,2017-07-25 07:32:04,27.99,8.72,telephony,400.0,36.71,0,2,8,12,4,48.09986339781549,technology,3844.0,medium,SP-SP,1
2018-01-18 14:36:40,2018-01-18 14:55:57,2018-01-22 22:41:39,2018-01-24 17:13:08,2018-02-02,2018,1,18,3,201801,20180118,14,Afternoon,b0cc15ee23845ff07ad13a3af4f34a46,8260,sao paulo,SP,-23.5702153501212,-46.435583380316174,7ff02a61c340c864ca6c4fb11e0675b9,1,ea8482cd71df3c1969d7b9473ff13abc,4160,sao paulo,SP,-23.625852663887155,-46.61139748251486,1,6e77b89d36e50217e6793780a8ce5c82,2018-01-24 14:55:57,37.99,7.78,telephony,300.0,45.77,0,4,6,14,8,18.97302554885558,technology,3844.0,medium,SP-SP,1
2018-03-25 13:48:39,2018-03-27 04:08:18,2018-03-27 19:18:54,2018-03-28 20:14:38,2018-04-06,2018,3,25,6,201803,20180325,13,Afternoon,1650459e18e792163dca4edab647caad,3982,sao paulo,SP,-23.611797471550585,-46.51379525708879,cedf655149bc1c7b96aa85193ab695ee,5,7d456afc660226829370f3173d14520c,8820,mogi das cruzes,SP,-23.50824041298776,-46.14932937351264,2,609c35bf8122d5ab8186ed7a6bfcd843,2018-04-02 04:08:18,15.0,14.78,health_beauty,432.0,29.78,1,2,3,11,8,38.93747663842837,health_beauty,8098.0,high,SP-SP,1
2017-10-19 15:08:48,2017-10-19 15:35:35,2017-10-23 13:14:16,2017-10-24 15:57:46,2017-10-31,2017,10,19,3,201710,20171019,15,Afternoon,48d4bf53229ec530405b4e461ae6adb0,2938,sao paulo,SP,-23.477664646836725,-46.72302975256795,6ad4fec6fc0f7a5cd309fbe144ae9a1e,5,e9779976487b77c6d4ac45f75ec7afe9,11701,praia grande,SP,-24.008581329681117,-46.419632758540544,2,12bc892d6fff0dc42c8177f3665ef00e,2017-10-25 15:35:35,78.98,16.54,health_beauty,728.0,95.52,0,3,5,11,6,66.44091116234365,health_beauty,8098.0,high,SP-SP,1
